,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,Unnamed: 40
301491,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,720,IND,Jump ball: M. Turner vs. J. Grant (M. Brogdon gains possession),0,DEN,,0,,,,,,,,,,,,,,,,,,,,,,,,M. Turner - turnemy01,J. Grant - grantje01,M. Brogdon - brogdma01,
301492,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,693,IND,M. Turner misses 2-pt jump shot from 17 ft,0,DEN,,0,M. Turner - turnemy01,2-pt jump shot,miss,17.0,,,,,,,,,,,,,,,,,,,,,,,
301493,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,693,IND,Offensive rebound by Team,0,DEN,,0,,,,,,,,,,Team,offensive,,,,,,,,,,,,,,,,
301494,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,693,IND,Turnover by Team (shot clock),0,DEN,,0,,,,,,,,,,,,,,,,,,,,Team,shot clock,,,,,,
301495,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,679,IND,,0,DEN,N. Joki misses 2-pt jump shot from 9 ft,0,N. Jokić - jokicni01,2-pt jump shot,miss,9.0,,,,,,,,,,,,,,,,,,,,,,,
301496,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,675,IND,Defensive rebound by J. Lamb,0,DEN,,0,,,,,,,,,,J. Lamb - lambje01,defensive,,,,,,,,,,,,,,,,
301497,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,658,IND,J. Lamb misses 3-pt jump shot from 23 ft,0,DEN,,0,J. Lamb - lambje01,3-pt jump shot,miss,23.0,,,,,,,,,,,,,,,,,,,,,,,
301498,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,653,IND,,0,DEN,Defensive rebound by N. Joki,0,,,,,,,,,,N. Jokić - jokicni01,defensive,,,,,,,,,,,,,,,,
301499,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,649,IND,,0,DEN,J. Grant misses 2-pt jump shot from 16 ft,0,J. Grant - grantje01,2-pt jump shot,miss,16.0,,,,,,,,,,,,,,,,,,,,,,,
301500,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,647,IND,Defensive rebound by M. Turner,0,DEN,,0,,,,,,,,,,M. Turner - turnemy01,defensive,,,,,,,,,,,,,,,,
301501,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,633,IND,M. Turner misses 3-pt jump shot from 24 ft,0,DEN,,0,M. Turner - turnemy01,3-pt jump shot,miss,24.0,,,,,,,,,,,,,,,,,,,,,,,
301502,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,628,IND,,0,DEN,Defensive rebound by M. Morris,0,,,,,,,,,,M. Morris - morrimo01,defensive,,,,,,,,,,,,,,,,
301503,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,616,IND,,0,DEN,N. Joki makes 2-pt hook shot from 3 ft (assist by M. Morris),2,N. Jokić - jokicni01,2-pt hook shot,make,3.0,M. Morris - morrimo01,,,,,,,,,,,,,,,,,,,,,,
301504,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,599,IND,T. Warren misses 2-pt jump shot from 13 ft (block by T. Craig),0,DEN,,2,T. Warren - warretj01,2-pt jump shot,miss,13.0,,T. Craig - craigto01,,,,,,,,,,,,,,,,,,,,,
301505,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,596,IND,,0,DEN,Defensive rebound by N. Joki,2,,,,,,,,,,N. Jokić - jokicni01,defensive,,,,,,,,,,,,,,,,
301506,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,593,IND,,0,DEN,M. Morris misses 2-pt jump shot from 9 ft,2,M. Morris - morrimo01,2-pt jump shot,miss,9.0,,,,,,,,,,,,,,,,,,,,,,,
301507,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,590,IND,Defensive rebound by D. Sabonis,0,DEN,,2,,,,,,,,,,D. Sabonis - sabondo01,defensive,,,,,,,,,,,,,,,,
301508,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,585,IND,Turnover by D. Sabonis (traveling),0,DEN,,2,,,,,,,,,,,,,,,,,,,,D. Sabonis - sabondo01,traveling,,,,,,
301509,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,572,IND,,0,DEN,N. Joki makes 3-pt jump shot from 26 ft (assist by M. Morris),5,N. Jokić - jokicni01,3-pt jump shot,make,26.0,M. Morris - morrimo01,,,,,,,,,,,,,,,,,,,,,,
301510,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,547,IND,M. Brogdon misses 3-pt jump shot from 25 ft,0,DEN,,5,M. Brogdon - brogdma01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,
301511,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,543,IND,,0,DEN,Defensive rebound by W. Barton,5,,,,,,,,,,W. Barton - bartowi01,defensive,,,,,,,,,,,,,,,,
301512,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,540,IND,,0,DEN,T. Craig misses 3-pt jump shot from 23 ft,5,T. Craig - craigto01,3-pt jump shot,miss,23.0,,,,,,,,,,,,,,,,,,,,,,,
301513,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,537,IND,Defensive rebound by D. Sabonis,0,DEN,,5,,,,,,,,,,D. Sabonis - sabondo01,defensive,,,,,,,,,,,,,,,,
301514,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,532,IND,M. Brogdon misses 2-pt jump shot from 6 ft (block by J. Grant),0,DEN,,5,M. Brogdon - brogdma01,2-pt jump shot,miss,6.0,,J. Grant - grantje01,,,,,,,,,,,,,,,,,,,,,
301515,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,532,IND,Offensive rebound by Team,0,DEN,,5,,,,,,,,,,Team,offensive,,,,,,,,,,,,,,,,
301516,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,527,IND,Turnover by J. Lamb (bad pass; steal by N. Joki),0,DEN,,5,,,,,,,,,,,,,,,,,,,,J. Lamb - lambje01,bad pass,steal,N. Jokić - jokicni01,,,,
301517,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,522,IND,,0,DEN,W. Barton misses 2-pt layup from 4 ft,5,W. Barton - bartowi01,2-pt layup,miss,4.0,,,,,,,,,,,,,,,,,,,,,,,
301518,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,520,IND,,0,DEN,Offensive rebound by T. Craig,5,,,,,,,,,,T. Craig - craigto01,offensive,,,,,,,,,,,,,,,,
301519,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,518,IND,,0,DEN,M. Morris misses 2-pt jump shot from 7 ft,5,M. Morris - morrimo01,2-pt jump shot,miss,7.0,,,,,,,,,,,,,,,,,,,,,,,
301520,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,518,IND,Defensive rebound by T. Warren,0,DEN,,5,,,,,,,,,,T. Warren - warretj01,defensive,,,,,,,,,,,,,,,,
301521,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,506,IND,T. Warren misses 2-pt layup from 4 ft,0,DEN,,5,T. Warren - warretj01,2-pt layup,miss,4.0,,,,,,,,,,,,,,,,,,,,,,,
301522,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,504,IND,,0,DEN,Defensive rebound by N. Joki,5,,,,,,,,,,N. Jokić - jokicni01,defensive,,,,,,,,,,,,,,,,
301523,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,500,IND,,0,DEN,W. Barton misses 3-pt jump shot from 27 ft,5,W. Barton - bartowi01,3-pt jump shot,miss,27.0,,,,,,,,,,,,,,,,,,,,,,,
301524,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,496,IND,Defensive rebound by D. Sabonis,0,DEN,,5,,,,,,,,,,D. Sabonis - sabondo01,defensive,,,,,,,,,,,,,,,,
301525,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,490,IND,J. Lamb misses 3-pt jump shot from 25 ft,0,DEN,,5,J. Lamb - lambje01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,
301526,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,485,IND,,0,DEN,Defensive rebound by T. Craig,5,,,,,,,,,,T. Craig - craigto01,defensive,,,,,,,,,,,,,,,,
301527,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,481,IND,,0,DEN,Shooting foul by J. Lamb (drawn by W. Barton),5,,,,,,,shooting,J. Lamb - lambje01,W. Barton - bartowi01,,,,,,,,,,,,,,,,,,
301528,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,481,IND,,0,DEN,W. Barton misses free throw 1 of 2,5,,,,,,,,,,,,,,,W. Barton - bartowi01,miss,1 of 2,,,,,,,,,,
301529,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,481,IND,,0,DEN,Offensive rebound by Team,5,,,,,,,,,,Team,offensive,,,,,,,,,,,,,,,,
301530,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,481,IND,,0,DEN,W. Barton makes free throw 2 of 2,6,,,,,,,,,,,,,,,W. Barton - bartowi01,make,2 of 2,,,,,,,,,,
301531,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,478,IND,Indiana full timeout,0,DEN,,6,,,,,,,,,,,,,,IND,,,,,,,,,,,,,
301532,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,469,IND,T. Warren makes 2-pt layup from 4 ft (assist by M. Brogdon),2,DEN,,6,T. Warren - warretj01,2-pt layup,make,4.0,M. Brogdon - brogdma01,,,,,,,,,,,,,,,,,,,,,,
301533,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,469,IND,Shooting foul by T. Craig (drawn by T. Warren),2,DEN,,6,,,,,,,shooting,T. Craig - craigto01,T. Warren - warretj01,,,,,,,,,,,,,,,,,,
301534,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,469,IND,T. Warren makes free throw 1 of 1,3,DEN,,6,,,,,,,,,,,,,,,T. Warren - warretj01,make,1 of 1,,,,,,,,,,
301535,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,449,IND,,3,DEN,N. Joki misses 2-pt jump shot from 21 ft,6,N. Jokić - jokicni01,2-pt jump shot,miss,21.0,,,,,,,,,,,,,,,,,,,,,,,
301536,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,446,IND,Defensive rebound by Team,3,DEN,,6,,,,,,,,,,Team,defensive,,,,,,,,,,,,,,,,
301537,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,432,IND,J. Lamb misses 2-pt jump shot from 16 ft,3,DEN,,6,J. Lamb - lambje01,2-pt jump shot,miss,16.0,,,,,,,,,,,,,,,,,,,,,,,
301538,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,428,IND,,3,DEN,Defensive rebound by N. Joki,6,,,,,,,,,,N. Jokić - jokicni01,defensive,,,,,,,,,,,,,,,,
301539,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,411,IND,,3,DEN,W. Barton makes 2-pt layup from 2 ft,8,W. Barton - bartowi01,2-pt layup,make,2.0,,,,,,,,,,,,,,,,,,,,,,,
301540,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,396,IND,T. Warren makes 2-pt layup from 2 ft (assist by M. Brogdon),5,DEN,,8,T. Warren - warretj01,2-pt layup,make,2.0,M. Brogdon - brogdma01,,,,,,,,,,,,,,,,,,,,,,
301541,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,375,IND,,5,DEN,N. Joki misses 2-pt layup from 3 ft,8,N. Jokić - jokicni01,2-pt layup,miss,3.0,,,,,,,,,,,,,,,,,,,,,,,
301542,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,374,IND,,5,DEN,Offensive rebound by N. Joki,8,,,,,,,,,,N. Jokić - jokicni01,offensive,,,,,,,,,,,,,,,,
301543,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,374,IND,,5,DEN,Shooting foul by M. Turner (drawn by N. Joki),8,,,,,,,shooting,M. Turner - turnemy01,N. Jokić - jokicni01,,,,,,,,,,,,,,,,,,
301544,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,374,IND,,5,DEN,N. Joki misses free throw 1 of 2,8,,,,,,,,,,,,,,,N. Jokić - jokicni01,miss,1 of 2,,,,,,,,,,
301545,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,374,IND,,5,DEN,Offensive rebound by Team,8,,,,,,,,,,Team,offensive,,,,,,,,,,,,,,,,
301546,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,374,IND,,5,DEN,N. Joki makes free throw 2 of 2,9,,,,,,,,,,,,,,,N. Jokić - jokicni01,make,2 of 2,,,,,,,,,,
301547,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,359,IND,D. Sabonis misses 2-pt jump shot from 20 ft,5,DEN,,9,D. Sabonis - sabondo01,2-pt jump shot,miss,20.0,,,,,,,,,,,,,,,,,,,,,,,
301548,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,355,IND,,5,DEN,Defensive rebound by W. Barton,9,,,,,,,,,,W. Barton - bartowi01,defensive,,,,,,,,,,,,,,,,
301549,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,349,IND,,5,DEN,W. Barton misses 2-pt jump shot from 7 ft (block by J. Lamb),9,W. Barton - bartowi01,2-pt jump shot,miss,7.0,,J. Lamb - lambje01,,,,,,,,,,,,,,,,,,,,,
301550,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,349,IND,,5,DEN,Offensive rebound by W. Barton,9,,,,,,,,,,W. Barton - bartowi01,offensive,,,,,,,,,,,,,,,,
301551,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,349,IND,,5,DEN,Turnover by W. Barton (traveling),9,,,,,,,,,,,,,,,,,,,,W. Barton - bartowi01,traveling,,,,,,
301552,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,349,IND,,5,DEN,M. Porter enters the game for T. Craig,9,,,,,,,,,,,,,,,,,,M. Porter - portemi01,T. Craig - craigto01,,,,,,,,
301553,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,340,IND,Personal foul by M. Porter (drawn by D. Sabonis),5,DEN,,9,,,,,,,personal,M. Porter - portemi01,D. Sabonis - sabondo01,,,,,,,,,,,,,,,,,,
301554,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,332,IND,M. Brogdon makes 2-pt jump shot from 16 ft (assist by M. Turner),7,DEN,,9,M. Brogdon - brogdma01,2-pt jump shot,make,16.0,M. Turner - turnemy01,,,,,,,,,,,,,,,,,,,,,,
301555,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,319,IND,,7,DEN,J. Grant makes 2-pt layup from 3 ft (assist by M. Morris),11,J. Grant - grantje01,2-pt layup,make,3.0,M. Morris - morrimo01,,,,,,,,,,,,,,,,,,,,,,
301556,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,308,IND,M. Turner misses 2-pt jump shot from 7 ft,7,DEN,,11,M. Turner - turnemy01,2-pt jump shot,miss,7.0,,,,,,,,,,,,,,,,,,,,,,,
301557,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,305,IND,Offensive rebound by D. Sabonis,7,DEN,,11,,,,,,,,,,D. Sabonis - sabondo01,offensive,,,,,,,,,,,,,,,,
301558,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,304,IND,D. Sabonis makes 2-pt layup from 1 ft,9,DEN,,11,D. Sabonis - sabondo01,2-pt layup,make,1.0,,,,,,,,,,,,,,,,,,,,,,,
301559,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,294,IND,,9,DEN,W. Barton makes 2-pt jump shot from 16 ft (assist by M. Morris),13,W. Barton - bartowi01,2-pt jump shot,make,16.0,M. Morris - morrimo01,,,,,,,,,,,,,,,,,,,,,,
301560,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,282,IND,M. Brogdon misses 2-pt layup from 4 ft,9,DEN,,13,M. Brogdon - brogdma01,2-pt layup,miss,4.0,,,,,,,,,,,,,,,,,,,,,,,
301561,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,278,IND,Offensive rebound by D. Sabonis,9,DEN,,13,,,,,,,,,,D. Sabonis - sabondo01,offensive,,,,,,,,,,,,,,,,
301562,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,278,IND,D. Sabonis misses 2-pt layup from 2 ft,9,DEN,,13,D. Sabonis - sabondo01,2-pt layup,miss,2.0,,,,,,,,,,,,,,,,,,,,,,,
301563,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,276,IND,,9,DEN,Defensive rebound by W. Barton,13,,,,,,,,,,W. Barton - bartowi01,defensive,,,,,,,,,,,,,,,,
301564,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,257,IND,,9,DEN,N. Joki makes 2-pt jump shot from 6 ft,15,N. Jokić - jokicni01,2-pt jump shot,make,6.0,,,,,,,,,,,,,,,,,,,,,,,
301565,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,240,IND,T. Warren makes 2-pt jump shot from 17 ft (assist by M. Brogdon),11,DEN,,15,T. Warren - warretj01,2-pt jump shot,make,17.0,M. Brogdon - brogdma01,,,,,,,,,,,,,,,,,,,,,,
301566,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,225,IND,,11,DEN,Personal foul by T. Warren (drawn by M. Porter),15,,,,,,,personal,T. Warren - warretj01,M. Porter - portemi01,,,,,,,,,,,,,,,,,,
301567,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,225,IND,A. Holiday enters the game for J. Lamb,11,DEN,,15,,,,,,,,,,,,,,,,,,A. Holiday - holidaa01,J. Lamb - lambje01,,,,,,,,
301568,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,225,IND,J. Holiday enters the game for D. Sabonis,11,DEN,,15,,,,,,,,,,,,,,,,,,J. Holiday - holidju01,D. Sabonis - sabondo01,,,,,,,,
301569,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,214,IND,,11,DEN,M. Morris misses 2-pt jump shot from 18 ft,15,M. Morris - morrimo01,2-pt jump shot,miss,18.0,,,,,,,,,,,,,,,,,,,,,,,
301570,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,212,IND,Defensive rebound by T. Warren,11,DEN,,15,,,,,,,,,,T. Warren - warretj01,defensive,,,,,,,,,,,,,,,,
301571,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,206,IND,Turnover by M. Turner (bad pass; steal by M. Morris),11,DEN,,15,,,,,,,,,,,,,,,,,,,,M. Turner - turnemy01,bad pass,steal,M. Morris - morrimo01,,,,
301572,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,200,IND,Violation by Team (kicked ball),11,DEN,,15,,,,,,,,,,,,Team,kicked ball,,,,,,,,,,,,,,
301573,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,200,IND,,11,DEN,P. Dozier enters the game for N. Joki,15,,,,,,,,,,,,,,,,,,P. Dozier - doziepj01,N. Jokić - jokicni01,,,,,,,,
301574,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,200,IND,,11,DEN,M. Plumlee enters the game for M. Morris,15,,,,,,,,,,,,,,,,,,M. Plumlee - plumlma01,M. Morris - morrimo01,,,,,,,,
301575,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,190,IND,,11,DEN,Offensive foul by P. Dozier (drawn by A. Holiday),15,,,,,,,offensive,P. Dozier - doziepj01,A. Holiday - holidaa01,,,,,,,,,,,,,,,,,,
301576,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,190,IND,,11,DEN,Turnover by P. Dozier (offensive foul),15,,,,,,,,,,,,,,,,,,,,P. Dozier - doziepj01,offensive foul,,,,,,
301577,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,179,IND,T. Warren makes 2-pt jump shot from 14 ft (assist by M. Brogdon),13,DEN,,15,T. Warren - warretj01,2-pt jump shot,make,14.0,M. Brogdon - brogdma01,,,,,,,,,,,,,,,,,,,,,,
301578,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,165,IND,,13,DEN,M. Porter misses 2-pt layup from 4 ft (block by T. Warren),15,M. Porter - portemi01,2-pt layup,miss,4.0,,T. Warren - warretj01,,,,,,,,,,,,,,,,,,,,,
301579,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,165,IND,Defensive rebound by Team,13,DEN,,15,,,,,,,,,,Team,defensive,,,,,,,,,,,,,,,,
301580,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,165,IND,,13,DEN,Denver full timeout,15,,,,,,,,,,,,,,DEN,,,,,,,,,,,,,
301581,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,165,IND,G. Bitadze enters the game for M. Brogdon,13,DEN,,15,,,,,,,,,,,,,,,,,,G. Bitadze - bitadgo01,M. Brogdon - brogdma01,,,,,,,,
301582,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,165,IND,T. McConnell enters the game for M. Turner,13,DEN,,15,,,,,,,,,,,,,,,,,,T. McConnell - mccontj01,M. Turner - turnemy01,,,,,,,,
301583,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,165,IND,,13,DEN,J. Hernangmez enters the game for J. Grant,15,,,,,,,,,,,,,,,,,,J. Hernangómez - hernaju01,J. Grant - grantje01,,,,,,,,
301584,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,151,IND,T. Warren misses 2-pt jump shot from 16 ft,13,DEN,,15,T. Warren - warretj01,2-pt jump shot,miss,16.0,,,,,,,,,,,,,,,,,,,,,,,
301585,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,148,IND,,13,DEN,Defensive rebound by J. Hernangmez,15,,,,,,,,,,J. Hernangómez - hernaju01,defensive,,,,,,,,,,,,,,,,
301586,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,131,IND,,13,DEN,W. Barton makes 2-pt layup from 5 ft,17,W. Barton - bartowi01,2-pt layup,make,5.0,,,,,,,,,,,,,,,,,,,,,,,
301587,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,120,IND,G. Bitadze misses 2-pt jump shot from 12 ft,13,DEN,,17,G. Bitadze - bitadgo01,2-pt jump shot,miss,12.0,,,,,,,,,,,,,,,,,,,,,,,
301588,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,118,IND,,13,DEN,Defensive rebound by M. Porter,17,,,,,,,,,,M. Porter - portemi01,defensive,,,,,,,,,,,,,,,,
301589,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,111,IND,,13,DEN,P. Dozier misses 3-pt jump shot from 26 ft,17,P. Dozier - doziepj01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,
301590,/boxscores/202001190DEN.html,regular,Pepsi Center Denver Colorado,January 19 2020,8:00 PM,IND,1,106,IND,Defensive rebound by A. Holiday,13,DEN,,17,,,,,,,,,,A. Holiday - holidaa01,defensive,,,,,,,,,,,,,,,,
